Hyperlink ,Redshift ,,,SFRD,Statistical Error,,Systematic Error,,AGN ,,Indicator,Extinction,Explanation,Std. Calibration Factors,,Cosmology Assumptions,,,Notes
,z,min,max,(Msun*yr^−1*Mpc^−3),(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,(+) ẟ,(-) ẟ,,,,Metallicity,IMF,H0,Ωm,ΩΛ ,
,,0.3,0.45,0.023,0.002,0.002,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.45,0.6,0.028,0.003,0.003,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.6,0.8,0.042,0.006,0.006,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,0.8,1,0.066,0.008,0.008,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,1,1.2,0.090,0.01,0.01,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,1.2,1.7,0.084,0.007,0.007,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
,,1.7,2,0.079,0.005,0.005,,,"N, small effect",,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,Y,Chabrier,71,0.27,0.73,
Magnelli et al. 2013,0,,,0.013,0.001,0.001,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,0.25,,,0.014,0.002,0.002,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,0.55,,,0.042,0.009,0.009,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,0.85,,,0.054,0.014,0.014,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,1.15,,,0.075,0.025,0.027,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
,1.55,,,0.079,0.028,0.027,,,Y,,IR,Y,Magnetlli et al. 2013,N,Chabrier,71,0.27,0.73,
Sobral et al. 2013,0.4,0.39,0.41,0.012,0.001,0.001,,,Y,,H_alpha,Y,Calzetti et al. 2000 + Garn & Best 2010,Y,Chabrier,70,0.3,0.7,10% AGN correction
,0.84,0.82,0.86,0.045,0.001,0.001,,,Y,,H_alpha,Y,Calzetti et al. 2000 + Garn & Best 2010,Y,Chabrier,70,0.3,0.7,10% AGN correction
,1.47,1.45,1.49,0.095,0.006,0.006,,,Y,,H_alpha,Y,Calzetti et al. 2000 + Garn & Best 2010,Y,Chabrier,70,0.3,0.7,15% AGN correction
Planck collab 2014,,1,1.5,0.423,0.123,0.123,,,N,,IR,Y,Planck analysis,N,Sal,67.3,0.315,0.685,
,,1.5,3,0.292,0.138,0.138,,,N,,IR,Y,Planck analysis,N,Sal,67.3,0.315,0.685,
Gruppioni et al. 2015,,0.000,0.300,0.025,0.005,0.005,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.300,0.450,0.035,0.010,0.010,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.450,0.600,0.049,0.014,0.014,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.600,0.800,0.056,0.013,0.013,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.800,1.000,0.064,0.016,0.016,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1,1.2,0.062,0.014,0.014,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1.20,1.70,0.082,0.021,0.021,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1.70,2.00,0.071,0.019,0.019,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,2.00,2.50,0.062,0.021,0.021,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,2.50,3.00,0.056,0.020,0.020,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,3.00,4.20,0.028,0.012,0.012,,,Y,,IR + UV,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.00,0.30,0.022,0.016,0.016,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.30,0.45,0.028,0.012,0.012,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.45,0.60,0.038,0.013,0.013,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.60,0.80,0.039,0.019,0.019,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,0.80,1.00,0.050,0.019,0.019,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1.00,1.20,0.056,0.026,0.026,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
,,1.20,1.70,0.051,0.025,0.025,,,Y,,IR,Y,Arnouts et al. 2002 + Ilbert et al. 2006,N,Chabrier,71,0.27,0.73,nonstandard IMF
